Farm,Month,Year,Sex,clas1_4,LCT,KFI,Ecervi,Tb
RN,12,0,1,3,174,7.9,0,0
RN,12,0,1,4,178,10.9,0,0
RN,12,0,1,3,,8.585,0,0
RN,12,0,1,4,159,54.8,40.4,
RN,12,0,1,4,176,6.8,26.9,0
RN,12,0,1,4,160,20.9,32.9,0
RN,2,3,2,1,137,,0,0
RN,2,3,2,1,128,10.445,0,0
RN,2,3,1,1,143,31.015,0,0
RN,2,3,1,1,134,8.275,0,0
RN,2,3,2,3,150,25.205,0,0
RN,2,3,2,1,122,18.27,0,0
RN,2,3,2,2,151,36.535,0,0
RN,2,3,1,1,131,11.29,0,0
RN,2,3,2,4,163,80.815,11.85,0
RN,2,3,2,4,164.3,44.135,0,0
RO,11,0,1,4,174,16.85,221.3,
RO,11,0,1,4,,,518.2,
RO,11,0,1,4,171,12.4,29.4,0
RO,11,0,1,4,,7.1,434.85,0
RO,11,0,1,4,169,6.3,63.7,0
RO,11,0,1,4,,11,233.3,0
RO,11,0,1,4,178,14.9,556.3,0
RO,11,0,1,3,168,,110.4,
RO,11,0,1,3,162,13.4,108.1,0
RO,11,0,1,3,182,7.8,71.1,0
RO,11,0,1,3,172,9.3,13.7,
RO,11,0,1,3,158,13.85,77.7,0
RO,11,0,1,4,178,,,
RO,11,0,1,4,186,,12.1,
RO,11,0,1,4,179,,160.6,0
RO,11,0,1,4,175,8.6,11.6,0
RO,11,0,1,3,163,,2186.6,
RO,11,0,1,3,163,9.6,242.5,0
RO,1,2,1,4,159,19.95,8.75,0
RO,1,2,,1,,,,
RO,1,2,1,4,177,10,45,0
RO,1,2,2,4,162,,,0
RO,1,2,2,3,156,34.155,,0
RO,1,2,2,2,137.9,18.93,6.25,0
RO,1,2,1,1,126.4,10.99,0,0
RO,1,2,2,4,157.5,12.605,2.5,0
RO,1,2,2,4,170,21.565,0,0
RO,1,2,1,4,160,14.715,10,0
RO,1,2,1,4,168,9.19,,
RO,1,2,1,4,161,6.055,35,0
RO,1,2,1,4,169,,,0
RO,1,2,2,3,,9.54,15,
RO,1,2,,4,171,,,
RO,1,2,2,4,144,28.7,39,0
RO,1,2,,,,16.74,1.25,
RO,1,2,1,4,172.5,23.275,8.75,0
RO,1,2,2,4,169,14.84,,0
RO,1,2,2,2,144.9,18.37,15,0
RO,1,2,2,4,151,31.995,8.75,0
RO,1,2,2,2,131,8.095,25,0
RO,1,2,2,4,156,21.81,2.5,0
RO,1,2,2,2,,,0,
RO,11,2,1,4,174,21.045,114.8,0
RO,11,2,1,4,177,9.7,434.02,0
SAL,2,2,,4,,,,1
SE,11,1,1,4,181,37.39,0.837,1
SE,11,1,1,3,179,22.755,11.86,0
SE,11,1,1,4,190,36.3,40,1
SE,11,1,1,3,174,36.955,6.77,0
SE,11,1,1,4,191,5.55,0,1
SE,11,1,1,4,188,34.83,57.48,1
SE,11,1,1,4,189,36.31,48.84,1
SE,11,1,1,3,180,21.87,2.2,0
SE,11,1,1,3,194,16.115,110.08,0
SE,11,1,1,4,178,17.43,39.55,1
SE,11,1,1,4,176,22.36,0,1
SE,11,1,1,4,174,24.1,81.31,0
SE,11,1,1,3,177,13.85,19.07,0
TI,1,1,1,4,175,13.05,31.3,
TI,1,1,1,4,192,13.1,3.6,0
TI,1,1,1,4,200,13.1,7,
TI,1,1,1,4,185,9,22.7,
TI,1,1,1,4,184,23.5,14,
TI,1,1,1,4,178,15.8,22.9,0
TI,1,1,1,4,188,8.5,4.5,0
TI,1,1,1,4,179,17.55,6.8,0
TI,1,1,1,4,183,,0,
TI,1,1,1,4,172,10.8,6.5,
TI,1,1,1,4,175,9.55,,
TI,1,1,1,4,182,14.55,49.2,0
TI,1,1,1,4,179,7.75,12.3,0
TI,1,1,1,4,173,,,
TI,1,1,1,4,184,,14.5,
TI,1,1,1,4,187,16.35,65.1,
TI,1,1,1,4,170,17.8,0.8,
TI,1,1,1,4,175,17.05,17.6,0
TI,1,1,1,4,179,9.2,8,0
TI,1,1,1,4,184,16.5,10.1,0
TI,1,1,1,4,182,9.8,17.5,
TN,2,0,1,4,179,,84.24,0
TN,2,0,2,4,160,,12.96,
TN,2,0,2,2,138,,29.16,
TN,2,0,2,3,148,,109.1718,
TN,2,0,1,2,154.5,,0,0
TN,2,0,1,2,144.9,,84.24,
TN,2,0,1,3,155,,87.48,0
TN,2,0,2,4,149,,53.9946,0
TN,2,0,2,3,148,,9.72,
TN,2,0,2,3,146.5,,38.88,0
TN,2,0,2,2,146,,16.2,1
TN,2,0,2,4,160,,86.2326,0
TN,2,0,2,3,151,,16.2,0
TN,2,0,2,3,157,,8.1,0
VY,10,2,1,2,166,26.82,364,
VY,10,2,2,4,165,57.14,36.46,
VY,10,2,1,3,143,,20.12,
VY,10,2,1,4,,,10,
VY,10,2,1,,,,,
VY,10,2,2,4,167,,,
VY,10,2,1,3,141,,,0
VY,10,2,1,4,148,,,
VY,10,2,1,4,166,,,
VY,10,2,2,4,139,,,
VY,10,2,1,4,177,21.35,,
VY,10,2,1,2,149,,,0
VY,10,2,2,4,146,20.77,9.57,
VY,10,2,2,4,151,92.49,11.28,0
VY,10,2,1,2,140,19.475,6.24,1
VY,10,2,2,4,149,,,
VY,10,2,2,4,155,,,0
VY,10,2,1,2,141,,,
VY,10,2,,,,20.15,,0
VY,10,2,2,4,170,,,
VY,10,2,2,4,151,,,0
VY,10,2,2,2,136,20.6,,0
VY,10,2,1,3,148,25.815,0,1
VY,10,2,,,,,,1
VY,10,2,1,4,,28.465,,1
VY,10,2,2,4,,26.34,,0
VY,10,2,2,4,,25.17,,0
VY,10,2,2,4,,14.18,,
VY,10,2,1,3,,25.14,0,0
VY,10,2,,1,,17.545,,0
VY,10,2,2,3,,19.365,,0
VY,10,2,1,1,,,,
VY,10,2,2,4,164,47,,
VY,10,2,2,3,148,,,
VY,10,2,2,1,118,,,
VY,10,2,2,3,152,32.7,,
VY,10,2,2,3,148,,,
VISO,11,2,1,4,165,42.4,96.6,0
VISO,11,2,1,4,167,30.8,0,0
VISO,11,2,1,4,160,3.155,38.6,0
VISO,11,2,1,4,164.7,21.365,24.1,0
VISO,11,2,1,4,157,30.075,4.9,0
VISO,11,2,1,4,158,61.035,0,0
VISO,11,2,1,4,166.9,42,,0
VISO,11,2,1,3,149,56.415,7.99,0
VISO,11,2,1,4,167,97.56,1.4,0
VISO,11,2,1,4,161,99.2,58.3,0
VISO,11,2,1,4,166.1,,18.6,
VISO,11,2,1,4,166.5,32.755,495,0
VISO,11,2,1,4,114.3,16.39,21.7,0
VISO,11,2,1,4,174.5,21.33,250.9,0
VISO,,,,,,,,1
MB,12,2,1,4,184,,0,
MB,12,2,1,4,190,,3.15,
MB,12,2,1,4,181.5,,7.71,
MB,12,2,1,4,182,,0,
MB,12,2,1,4,185,,,
MB,12,2,1,4,190.7,,,
MB,12,2,1,4,180.7,,27.35,0
MB,12,2,1,4,180.3,,52.1,
MB,12,2,1,4,179.4,,2.2,
MB,12,2,1,3,177,,,0
MB,12,2,1,4,172,,22.43,
MB,12,2,1,4,176,38.26,5.3,0
MB,12,2,1,4,181.2,,,
MB,12,2,1,4,171,,1.17,
MB,12,2,1,4,179,,0,
MB,12,2,1,4,179,,31.35,
MB,12,2,1,4,181.9,,3.85,
MB,12,2,1,4,172,,3.8,
MB,12,2,1,2,153,66.105,61.9,0
MB,12,2,1,4,162,,,
MB,12,2,1,3,172.5,,24.42,
MB,12,2,1,3,168,34.66,31.32,0
MB,12,2,2,,115,,53.5,
MB,12,2,2,4,164.2,118.21,3.5,0
MB,12,2,2,,165,,,
MB,12,2,2,4,152.2,34.21,30.2,0
MB,12,2,2,3,146,63.63,57.8,0
MB,12,2,2,4,167,,,
MB,12,2,2,4,166.5,68.025,47.12,0
MB,12,2,2,3,142.2,99.2,0,1
MB,12,2,2,4,159.7,70.73,8,0
PA,12,2,2,4,,,,0
PA,12,2,2,4,,,,0
PA,12,2,2,4,,,,0
PA,12,2,2,4,,,,0
PA,12,2,2,4,,,,0
PA,12,2,2,4,,,,0
PA,12,2,2,4,,,,0
PA,12,2,2,4,,,,0
PA,12,2,2,4,,,,0
PA,12,2,,1,,,,0
PA,12,2,1,4,,,,0
SE,10,3,1,1,121.5,9.785,0,0
SE,9,3,2,1,105.5,,0,0
SE,9,3,1,1,117,,0,0
SE,10,3,2,3,157.5,8.12,19.66,1
SE,10,3,2,2,151.5,6.81,152.67,0
SE,9,3,2,3,167,,96.53,0
SE,9,3,2,4,159,,0,0
SE,9,3,2,4,161,9.955,40.669,1
SE,10,3,2,2,146.5,6.305,48.94,1
SE,10,3,2,3,162.5,7.415,84.11,0
SE,10,3,2,4,172,8.665,47.94,0
SE,10,3,2,4,175,7.03,260.2,0
SE,10,3,2,3,163.5,11.415,121.41,0
LN,9,3,1,1,118,,0,0
LN,9,3,1,1,103,,0,0
LN,9,3,1,4,199,,125.89,0
LN,9,3,1,3,174,,37.03,0
LN,9,3,1,4,198,,141.21,0
LN,9,3,1,2,145,,33.31,0
LN,9,3,1,4,192,,,0
LN,9,3,1,3,172,9.335,96.25,1
LN,9,3,2,3,177,,73.05,0
LN,9,3,2,3,165,,97.97,0
LN,9,3,1,4,184,4.063,127.33,1
LN,9,3,1,4,191,,79.81,0
LN,9,3,2,4,165,,22.187,0
LN,9,3,2,4,176,,86.37,0
CB,8,3,2,2,153.5,,21.9,0
CB,8,3,2,4,162,,427.3,0
CB,8,3,2,2,143,,354.4,0
CB,8,3,2,2,164,,20.85,0
CB,8,3,2,3,164,,56.85,0
CB,8,3,2,2,160,,34.78,0
CB,8,3,2,4,168,,145,0
CB,8,3,2,3,165,,65.57,0
CB,8,3,2,2,153,,40.7,0
CB,8,3,2,2,164,,70.009,0
CB,8,3,2,2,147,,221.68,0
CB,8,3,2,3,154.5,,133.87,0
CB,8,3,2,2,143,,88.96,0
CB,8,3,2,4,174.8,,109.86,0
CB,8,3,2,2,157,,1.9,0
CB,8,3,2,1,114.5,,0,0
CB,9,3,2,1,132,,0,0
CB,9,3,2,2,166,,,0
CB,9,3,2,2,162,,68.26,0
CB,9,3,2,1,110.3,,0,0
CB,9,3,2,1,111.9,,0,0
CB,9,3,2,1,120.5,,0,0
CB,9,3,1,1,121.5,,0,0
CB,6,3,1,2,158,,135.88,0
CB,6,3,1,2,148,,180.45,0
CB,6,3,2,2,153,,335.35,0
CB,6,3,1,3,190,138.87,16.67,0
CB,6,3,2,4,156,,,0
CB,6,3,2,2,128.5,,326.13,0
CB,6,3,1,3,163.5,,86.31,0
CB,6,3,2,4,155.2,14.365,288.05,0
CB,6,3,1,4,,,109.61,0
CB,6,3,1,4,197,,62.11,0
CB,6,3,2,3,160,,67.59,0
CB,6,3,2,3,174,,47.98,0
CB,6,3,2,3,167,,88.3,0
CB,6,3,1,2,150,,0,0
CB,6,3,1,2,157,,35.35,0
CB,6,3,1,2,,,30.07,0
CB,6,3,1,2,130.5,,54.09,0
CB,6,3,1,2,151,4.94,98.39,0
CB,6,3,1,2,,,16.52,0
CB,6,3,2,3,163,,26.06,0
CB,6,3,2,2,162,,0,0
CB,6,3,1,2,154,,2.199,0
CB,6,3,1,2,148,,1.29,0
CB,6,3,1,2,151.5,,178.02,0
CB,6,3,1,3,156,,0,0
CB,6,3,2,3,153.5,,47.84,0
CB,6,3,1,2,,,76.21,0
CB,6,3,1,2,137.5,,71.65,0
CB,6,3,2,4,171,8.175,82.56,1
CB,6,3,1,2,147,,134.05,0
CB,7,3,2,2,139.1,5.3,402.14,0
CB,7,3,2,2,137,7.58,,1
SAU,2,4,1,2,166,20.435,0,0
SAU,2,4,1,3,182,20.335,0,0
SAU,2,4,1,3,185.5,7.41,0,0
CRC,1,4,1,1,116.5,20.04,0,0
CRC,1,4,1,3,,35.79,2.405,0
CRC,1,4,2,2,,29.855,4.54,0
HB,2,4,2,4,147,42.6,0,
HB,2,4,1,3,142,15.11,0,
HB,2,4,2,4,174,16.34,3.33,
HB,2,4,1,3,162,11.82,1.15,
HB,2,4,1,4,172,10.92,0,
HB,2,4,2,4,153,44.745,0,
HB,2,4,2,3,,32.85,2,
MAN,1,5,1,,176,48.82,0,0
MAN,1,5,1,,182,43.78,0,0
MAN,1,5,1,,174,9.35,0,0
MAN,1,5,1,,190,35.625,0,
MAN,1,5,1,,168,8.455,,
MAN,1,5,1,,178,18.165,,0
MAN,1,5,1,,168,10.975,10,1
MAN,1,5,1,,180,,0,1
MAN,1,5,1,,178,43.81,0,
MAN,1,5,1,,173,39.475,,1
MAN,1,5,2,4,155.5,41.5,,1
MAN,1,5,2,4,164,56.47,,0
MAN,1,5,2,4,158,79.24,,0
MAN,1,5,2,4,158.5,81.37,,0
MAN,1,5,2,4,163.5,62.56,,0
MAN,1,5,2,4,160,110.96,,0
MAN,1,5,2,2,152,33.725,,1
MAN,1,5,2,2,148.5,109.3,,1
MAN,1,5,2,4,165,100.985,,1
MAN,1,5,2,4,159,77.165,0,0
BA,12,4,1,3,170.5,19.645,,0
BA,12,4,1,3,166.5,19.455,,1
BA,12,4,1,3,157.3,9.675,,0
BA,12,4,1,4,177,15.455,,0
BA,12,4,1,4,163,13.75,,0
BA,12,4,1,4,181.4,9.9,,1
BA,12,4,1,3,163.5,,,0
BA,12,4,2,1,125.3,294.32,,0
BA,12,4,2,2,150.4,21.49,,0
BA,12,4,2,4,164.8,23.845,,
BA,12,4,1,1,127.4,19.64,,0
BA,12,4,2,4,153.5,24.2,,0
BA,12,4,2,4,156.5,40.335,,1
BA,12,4,2,4,159,27.66,,0
BA,12,4,2,4,155,99.08,,0
BA,12,4,2,4,157,40.48,,0
BA,12,4,2,2,142,20,,0
BA,12,4,1,2,147,18.82,,0
BA,12,4,1,1,131,,,
BA,12,4,2,4,184,27.445,,0
NV,12,4,2,1,137.7,22.37,,0
NV,12,4,2,,158.2,22.91,,
NV,12,4,2,4,163.5,,,
NV,12,4,2,1,139,,,
NV,12,4,2,4,165.7,39.93,,
NV,12,4,2,4,167,,,
NV,12,4,2,,193.7,17.07,,0
NV,12,4,2,4,162.5,27.03,0,0
NV,12,4,2,1,137.8,,2.43,
NV,12,4,2,4,153.5,,,
NV,12,4,2,4,165,4.98,,0
NC,11,4,1,4,172,,,
NC,11,4,1,4,172,,,0
NC,11,4,1,3,177,18.75,0,1
NC,11,4,1,3,190.5,12.32,3.56,0
NC,11,4,1,3,168.2,16.39,0,0
NC,11,4,1,3,175,10.88,0,0
NC,11,4,1,4,172,17.845,32.53,0
NC,11,4,1,3,177,28.57,0,0
NC,11,4,1,4,185.5,14.03,,0
NC,11,4,1,4,174,30.17,0,1
NC,11,4,1,4,187.5,15.025,0,1
NC,11,4,1,3,170,17.39,10.17,0
NC,11,4,1,3,160,18.44,3.37,0
NC,11,4,1,3,171,27.67,1.23,0
NC,11,4,1,4,182,9.47,0,0
NC,11,4,1,4,168,8.69,0,0
NC,11,4,1,4,172,8.75,0,0
NC,11,4,1,3,173,14.01,1.24,
NC,11,4,1,4,163,12.5,7.25,0
NC,11,4,1,4,169.4,11.8,5.89,0
NC,11,4,1,4,178.6,10.65,8,0
NC,11,4,,4,,,7,1
HB,11,4,1,4,153,7.52,0,0
HB,11,4,1,4,170,13.2,0,0
HB,11,4,1,,165,8.08,0,1
HB,11,4,1,3,163,,0,0
HB,11,4,1,,159,11.94,0,0
HB,11,4,1,,163,10.48,0,0
HB,11,4,1,3,149.8,10,0,0
HB,11,4,1,3,159,7.535,0,0
HB,11,4,1,3,143,20.25,0,0
HB,11,4,1,3,145,10,0,0
HB,11,4,1,,152,,0,0
HB,11,4,1,3,,9.52,,0
HB,11,4,1,3,,8.13,,0
HB,11,4,1,3,,7.2,,0
HB,11,4,1,3,,7.85,,0
HB,11,4,1,3,160,19.23,,0
LCV,10,4,1,4,143.5,,,1
LCV,10,4,1,4,,,,
TN,1,5,1,4,173,,0,
TN,1,5,1,3,158,16.805,1.91,0
TN,1,5,2,4,167,,,
TN,1,5,2,4,167,42.605,,0
TN,1,5,2,2,149,51.62,0,0
TN,1,5,2,2,164,,,
TN,1,5,2,1,124,20.24,0,0
TN,1,5,2,4,144,,,
TN,1,5,1,1,125,8.88,0,0
TN,1,5,1,4,145,,0,
TN,1,5,2,4,165,19.2,1.76,0
TN,1,5,2,4,163,,4.62,
TN,1,5,1,,,,,
TN,1,5,2,1,135,13.39,0,0
TN,1,5,1,,176,,3.39,0
TN,1,5,2,4,161,23.835,5.96,1
TN,1,5,1,3,156,,,
VY,10,4,2,1,112.5,35.16,,0
VY,10,4,2,2,138.5,,,0
VY,10,4,2,4,168,35.045,,0
CRC,2,4,2,2,152.5,125.82,,0
CRC,3,4,2,4,,,,
CRC,3,4,2,4,,,,
CB,10,4,2,4,161,,9.49,0
CB,10,4,2,2,149,,18.51,0
QM,11,4,1,2,152,,,0
QM,2,5,1,4,160,,466.5,0
QM,2,5,2,4,157,,27.75,0
QM,2,5,2,4,153,,68.68,0
QM,2,5,2,4,160,,,0
QM,2,5,2,4,151,,,0
QM,2,5,1,3,157,,,0
QM,2,5,2,4,161,,,0
QM,2,5,1,2,138,,92.37,0
QM,2,5,1,4,144.5,,72.51,0
QM,2,5,2,3,154,,32.54,0
QM,2,5,2,4,157,,22.04,0
QM,2,5,1,4,179,,123.7,0
QM,2,5,2,4,162,,28.12,0
QM,2,5,2,4,152,,67.47,0
QM,2,5,1,4,160,,124.44,0
QM,2,5,2,4,162,,105.45,0
QM,2,5,2,3,154,,73.73,0
QM,2,5,2,3,,,,0
QM,2,5,2,4,159,,,0
QM,2,5,2,3,,,,0
HB,2,5,2,4,156,32.565,,0
HB,2,5,1,,,64.76,,0
HB,2,5,1,3,167.5,44.5,,
HB,2,5,1,4,180.5,42,,
HB,2,5,1,3,165.5,9.43,,0
HB,2,5,1,3,162.5,22.645,,0
HB,2,5,1,3,164.5,28.395,,0
HB,2,5,1,,160.3,30.765,,
HB,2,5,1,4,165,12.885,,
HB,2,5,1,3,160,23.875,,0
HB,2,5,1,2,144,30.48,,
HB,2,5,1,3,137,27.89,,0
CRC,12,4,2,4,,,,
CRC,12,4,1,2,,,,
CRC,12,4,2,4,,,,
CRC,12,4,2,4,,,,
CRC,12,4,2,4,,,,
CRC,12,4,1,2,,,,
CRC,12,4,2,4,,,,
CRC,12,4,2,2,,,,
CRC,12,4,2,2,,,,
CRC,12,4,2,4,,,,
MO,,0,2,3,162,83.965,,
MO,,,2,4,165,134.21,,
MO,,,1,2,163,103.875,,
MO,,,1,4,193,140.315,,
MO,,,1,2,162,107.69,,
MO,,,1,2,173,47.175,,
MO,,,1,2,162,54.465,,
MO,,,2,1,95,7.4,,
MO,,,1,2,178,40.795,,
MO,,,2,4,165,50.86,,
MO,,,1,4,188,173.805,,
MO,,,2,4,157,61.2,,
MO,,,1,3,173,81.8,,
MO,,,1,2,162,95,,
MO,,,1,2,172,98,,
MO,,,1,2,173,42.62,,
MO,,,2,3,151,62.21,,
MO,,,1,2,164,21.515,,
MO,,,2,4,166,31.73,,
MO,,,1,1,125,42.6,,
MO,,,1,1,126,9.465,,
MO,,,2,2,146,241,,
MO,,,2,4,165,73.105,,
MO,,,1,1,131,57.055,,
MO,,,1,4,191,106.4,,
MO,,,1,4,191,107.75,,
MO,,,1,4,202,66,,
MO,,,1,3,167,38.915,,
MO,,,1,2,172,26.3,,
MO,,,1,4,200,70.055,,
MO,,,2,4,175,103.9,,
MO,,,2,1,133,38.55,,
MO,,,1,3,183,35.7,,
MO,,,1,3,183,,,
MO,,,2,,161,,,
MO,,,2,1,126,16.6,,
MO,,,2,4,116,125,,
MO,,,1,4,185,36.85,,
MO,,,1,4,193,20.085,,
MO,,,1,2,164,11.825,,
MO,,,2,4,168,47.59,,
MO,,,1,1,138,20.75,,
MO,,,2,4,160,57.7,,
MO,,,1,4,183,13.72,,
MO,,,1,4,180,14.95,,
MO,,,1,,193,12.35,,
MO,,,1,2,171,39.05,,
MO,,,1,4,195,15.85,,
MO,,,1,4,187,15.65,,
MO,,,2,,174,97.2,,
MO,,,1,4,190,11.05,,
MO,,,1,4,184,17.2,,
MO,,,2,1,136,8.65,,
MO,,,2,4,160,39.8,,
MO,,,2,4,168,2.42,,
MO,,,2,4,173,50.4,,
MO,,,1,1,146,30.1,,
MO,,,1,3,173,,,
MO,,,1,4,187,,,
MO,,,1,4,193,,,
